"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen waarin worden gebezigd krachtswerktuigen, gedreven door stoom, gas, heete lucht, enz.; water of wind",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeente,Nummer der Beroepsklasse ,Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"12   1878",,"13   1876",,"14 --- 15  1875   --- 1874",,"16 --- 17  1873   --- 1872",,,,"18 --- 22  1871   --- 1867",,,,"23 --- 24  1866   --- 1865",,,,"25 --- 35  1864   --- 1854",,,,"36 --- 50  1853   --- 1839",,,,"51 --- 60  1838   --- 1829",,,,"61 --- 65  1828   --- 1824",,,,"66 --- 70  1823 --- 1818",,,,"71 en daarboven  1818 en vroeger",,,,"Van onbekenden leeftijd",,,,"TOTAAL DER MANNEN",,"TOTAAL DER VROUWEN",,"TOTAAL DER MANNEN EN VROUWEN",,Nummer der Beroepsklasse,Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,a,,Levensverzekeringen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,4,Agenten   ,B,,,,,,,,,,,,,,1,3,,,,2,,,11,8,,,30,7,1,,6,1,,,8,,,,4,,,,,,,,,,,,60,21,1,,61,21,4,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,5,Directeuren  ,B,,,,,,,,,,,,,,,,,,,,,,2,1,,,9,,,,2,,,,3,,,,,,,,,,,,,,,,16,1,,,16,1,5,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,6,Inspecteuren,C,,,,,,,,,,,,,,,1,,,,,,,2,3,,,3,,,,2,,,,1,,,,,,,,,,,,,,,,8,4,,,8,4,6,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,b,,Zieken- en begrafenisfondsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,7,Agenten,B,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,7,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,8,Controleurs,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,8,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,9,Directeuren,B,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,5,,,,1,,,,1,,1,,,,,,,,,,9,1,1,,10,1,9,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,10,Inspecteurs,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,10,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,d,,Andere verzekeringen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,11,Agenten,B,,,,,,,,,,,,,,,3,,,,3,,,22,14,,,44,7,,,22,3,,,6,1,,2,2,,,,5,,,,,,,,101,31,,2,101,33,11,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,12,Assurandeurs,A,,,,,,,,,,,,,,,1,,,1,4,,,4,9,,,17,7,,,11,3,,,6,,,,3,,,,5,,,,,,,,47,24,,,47,24,12,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,13,id.,B,,,,,,,,,,,,,,,1,,,,,,,,1,,,5,1,,,5,,,,,1,,,1,,,,3,,,,,,,,14,4,,,14,4,13,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,14,Commissionnairs,B,,,,,,,,,,,1,,,,,,,,,,,8,6,,,17,7,,,4,2,,,4,2,,,4,2,,,,,,,,,,,37,20,,,37,20,14,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,15,Directeuren,B,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,,15,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,16,Inspecteuren,C,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,1,,,2,1,16,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,17,Makelaars,B,,,,,,,,,,,,,,,,,,,1,,,5,9,,,14,4,,,8,,,,3,2,,,1,,,,1,,,,,,,,32,16,,,32,16,17,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,,Totaal voor XXII,A,,,,,,,,,,,,,,,1,,,1,4,,,4,9,,,17,7,,,11,3,,,6,,,,3,,,,5,,,,,,,,47,24,,,47,24,,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,,Totaal voor XXII,B,,,,,,,,,,,1,,,1,8,,,,6,,,49,40,,,123,26,1,,53,6,,,25,6,,2,13,2,1,,9,,,,,,,,273,95,2,2,275,97,,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,,Totaal voor XXII,C,,,,,,,,,,,,,,,1,,,,,,,3,4,,,5,,,,3,,,,1,,,,,,,,,,,,,,,,12,5,,,12,5,,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,,Totaal voor groep XXII,,,,,,,,,,,,1,,,1,10,,,1,10,,,56,53,,,145,33,1,,67,9,,,32,6,,2,16,2,1,,14,,,,,,,,332,124,2,2,334,126,,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,XXIII,,,"Tusschenhandel (Commissiehandel, kassierderij, makelaarij; enz.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,a,,Grondstoffen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,18,Agenten,B,,,,,,,,,,,,,,,1,,,,1,,,3,7,,,17,2,,,7,2,,,2,,,,2,,,,,,,,,,,,31,13,,,31,13,18,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,19,Commissionnairs,B,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,1,3,19,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,20,Makelaars,B,,,,,,,,,,,,,,,,,,,,,,,2,,,7,1,,,1,,,,1,,,,,,,,1,,,,,,,,10,3,,,10,3,20,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,b,,Voorwerpen van kleeding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,21,Agenten,B,,,,,,,,,,,,,,1,6,,,5,10,1,,55,65,,,136,38,4,2,50,9,3,,19,1,,,10,,1,,6,,,,,,,,282,129,9,2,291,131,21,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,22,Commissionnairs,B,,,,,,,,,,,,,,,1,,,,,,,5,2,,,8,4,,,2,,,,,,,,1,,,,,,,,,,,,16,7,,,16,7,22,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,23,Makelaars,B,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,5,,,,5,,23,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,c,,Voorwerpen van voeding en genot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,24,Agenten,B,,,,,,,,,,,,,,1,7,,,2,8,,,66,53,,,118,30,,,60,6,,,19,5,,,12,2,,,7,1,,,,,,,285,112,,,285,112,24,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,25,Commissionnairs,B,,,,,,,,,,,,,,1,1,,,,2,1,,11,5,,,13,6,1,,16,,,,2,1,,,1,,,,1,,,,,,,,45,15,2,,47,15,25,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,26,Makelaars,B,,,,,,,,,,,,,,,2,,,,5,,,35,29,,,74,20,,,49,9,,,12,,,,4,,,,7,,,,,,,,181,65,,,181,65,26,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,XXIII,D.,,Voorwerpen van woning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,1,Agenten,B,,,,,,,,,,,,,,,,,,,,,,8,3,,1,6,,,,2,,,,2,1,,,,,,,,,,,,,,,18,4,,1,18,5,1,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,2,Commissionnairs,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,2,1,,,2,1,2,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,3,Makelaars,B,,,,,,,,,,,,,,,,,,,1,,,4,3,,,13,,,,6,1,,,,,,,1,,,,,,,,,,,,24,5,,,24,5,3,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,E.,,Boek- en kunstwerken. (incl. dagbladen).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,4,Agenten,B,,,,,,,,,,,,,,,,,,,,,,1,1,,,7,1,,,,,,,,,,,,,,,,,,,,,,,8,2,,,8,2,4,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,5,Commissionnairs,B,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,,,,2,,,,1,,,,,,,,,,,,,,,,6,1,,,6,1,5,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,F.,,Voorwerpen van luxe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,6,Agenten,B,,,,,,,,,,,,,,1,1,,,2,5,,,22,25,,,47,10,,,27,1,,,7,,,,2,,,,1,,,,,,,,109,42,,,109,42,6,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,7,Makelaars,B,,,,,,,,,,,,,,1,,,,,1,,,13,9,,,29,5,,,16,4,1,,5,,,,2,,,,,,,,,,,,66,19,1,,67,19,7,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,G.,,Levend vee en gevogelte.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,8,Agenten,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,8,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,9,Commissionnairs,B,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,9,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,H.,,Andere waren.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,10,Agenten,B,,,,,,,,,,,1,,,,2,,,1,5,,,34,41,,,59,20,2,,30,1,,,9,,,,4,,,,,,,,,,,,137,70,2,,139,70,10,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,11,Commissionnairs in effecten,B,,,,,,,,,,,,,,,8,,,2,13,,,122,65,,,211,49,1,,86,10,2,,33,7,,,21,3,,,7,,,,,,,,482,155,3,,485,155,11,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,12,Commissionnairs,B,,,,,,,,,,,,,,,,,,,,,,9,6,,,33,7,,,7,2,,,8,,,,2,2,,,2,1,,,,,,,61,18,,,61,18,12,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,13,Debiteurs Staatsloterij,A,,,,,,,,,,,,,,,,,,,,,,4,,,,1,2,,,4,1,,,9,,1,,7,,,,4,,,,,,,,29,3,1,,30,3,13,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,14,Exporthandelaars,A,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,14,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,15,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,15,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,16,Geldwisselaars,A,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,16,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,17,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,2,,17,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,18,Makelaars,B,,,,,,,,,,,,,,,1,,,2,6,,,52,32,,,110,21,,,51,8,,,20,2,,,16,2,,,14,,,,,,,,265,72,,,265,72,18,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,,Totaal voor XXIII,A,,,,,,,,,,,,,,,,,,,,,,5,1,,,4,2,,,4,1,,,9,,1,,7,,,,4,,,,,,,,33,4,1,,34,4,,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,,Totaal voor XXIII,B,,,,,,,,,,,1,,,5,30,,,14,57,2,,443,352,,1,895,215,8,2,416,53,6,,140,17,,,78,9,1,,46,2,,,,,,,2037,736,17,3,2054,739,,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,,Totaal voor XXIII,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,2,,,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,,Totaal voor groep XXIII,,,0,0,0,0,0,0,0,0,0,1,0,0,5,30,0,0,14,57,2,0,448,353,0,1,900,217,8,2,420,54,6,0,149,17,1,0,86,9,1,0,50,2,0,0,0,0,0,0,2072,740,18,3,2090,743,,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,XII,,,Hulpbedrijven van den handel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,A.,,Grondstoffen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,19,Houtfactoren,A,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,19,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,20,Reizigers,C,,,,,,,,,,,1,,,,3,,,,2,,,9,4,,,9,1,,,5,1,,,,,,,,,,,,,,,,,,,23,12,,,23,12,20,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,21,Steenkolenfactoren,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,21,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,B.,,Voorwerpen van kleeding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,22,Reizigers,C,,,,,,,,1,,,4,,,1,42,,,2,26,,,69,102,,,86,31,,,21,8,,,4,,,,2,,,,,,,,,,,,185,214,,,185,214,22,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,C.,,Voorwerpen van voeding en genot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,23,Graanfactoren,A,,,,,,,,,,,,,,,,,,,,,,8,3,,,10,2,,,7,1,,,3,,,,,,,,1,,,,,,,,29,6,,,29,6,23,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,24,Reizigers,C,,,,,,,,,,,1,,,2,33,,,1,22,,,61,58,,,76,29,,,27,2,,,10,,,,1,,,,1,,,,,,,,179,145,,,179,145,24,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,D. ,,Voorwerpen van woning.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,25,Reizigers,C,,,,,,,,,,,,,,,1,,,,3,,,11,4,,,6,1,,,3,,,,2,,,,,,,,1,,,,,,,,23,9,,,23,9,25,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,E.,,Boek- en kunstwerken (incl. dagbladen).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,26,Advertentieplaatser,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,26,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,27,Colporteur,C,,,,,,,,1,,,,,,,5,,,,3,,,18,8,,,44,9,,,20,3,,,8,1,,,4,,,,,,,,,,,,94,30,,,94,30,27,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,28,Reizigers,C,,,,,,,,,,,,,,,2,,,,1,,,4,,,,5,1,,,2,,,,,,,,,,,,1,,,,,,,,12,4,,,12,4,28,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,F.,,Voorwerpen van luxe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,29,Reizigers,C,,,,,,,,,,,,,,1,4,,,2,14,,,27,32,,,19,9,,,5,2,,,2,1,,,1,1,,,,,,,,,,,57,63,,,57,63,29,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,G.,,Levend vee en gevolgelte.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,,30,Reizigers,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,30,BT ,1889_02_T1,52,53,HET RIJK,29_0395
,,H.,,Andere.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,1,Directeuren van verhuurkantoren,B,,,,,,,,,,,,,,,,,,,,,1,1,,,,5,,26,3,1,1,18,,,,6,1,,,4,,,,2,,,,,,7,1,56,5,63,6,1,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,2,Houders van informatiekantoren,A,,,,,,,,,,,,,,,,,,,1,,,1,1,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,3,3,,,3,3,2,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,3,Ontvangers venduhuis,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,3,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,4,Omroepers,D,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,3,,,,3,,4,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,5,Reizigers,C,,,,,,,,1,,,1,,,,15,,,1,14,,,39,32,,,34,8,,,14,2,,,5,2,,,,2,,,3,,,,,,,,96,77,,,96,77,5,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,6,Uitroepers bij verkoopingen,D,,,,,,,,,,,,,,,,,,,,,,6,,,,3,1,,,2,,,,2,,1,,,,,,,,,,,,,,13,1,1,,14,1,6,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,7,Vendumeesters,C,,,,,,,,,,,,,,,1,,,,,,,2,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,5,1,,,5,1,7,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,8,id.,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,8,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,9,Verhuurders van zeevolk.,A,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,9,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,10,Wegers,C,,,,,,,,1,,,,,,,1,,,3,1,,,53,9,,,49,2,,,16,,,,4,,,,1,,,,,,,,,,,,126,14,,,126,14,10,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,,Totaal voor XXIV,A,,,,,,,,,,,,,,,,,,,1,,,12,4,,,11,3,,,11,1,,,3,,,,,,,,1,,,,,,,,38,9,,,38,9,,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,,Totaal voor XXIV,B,,,,,,,,,,,,,,,,,,,,,1,1,,,,5,,26,3,1,1,18,,,,6,1,,,4,,,,2,,,,,,7,1,56,5,63,6,,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,,Totaal voor XXIV,C,,,,,,,,4,,,7,,,4,107,,,9,86,,,293,249,,,330,91,,,115,18,,,36,4,,,9,3,,,6,,,,,,,,802,569,,,802,569,,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,,Totaal voor XXIV,D,,,,,,,,,,,,,,1,,,,,,,,1,,,,3,1,,,3,,,,8,,1,,1,,,,,,,,,,,,17,1,1,,18,1,,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,,totaal voor groep XXIV,,,0,0,0,0,0,0,4,0,0,7,0,0,5,107,0,0,9,87,0,1,307,253,0,0,349,95,26,3,130,20,18,0,47,4,7,1,10,3,4,0,7,0,2,0,0,0,0,0,864,580,57,5,921,585,,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,XXV,,,Vrije beroepen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,11,a. Geneeskundigen,,,,,,,,,,,,,,,,1,,,,7,,,56,67,,1,116,17,,1,80,10,,,33,5,,,27,5,,,30,3,,,,,,,342,115,,2,342,117,11,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,12,b. Vroedvrouwen,,,,,,,,,,,,,,,,,2,15,,,1,11,,,22,23,,,42,5,,,21,5,,,12,1,,,10,,,,5,,,,,,,,115,60,115,60,12,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,13,c. Bakers,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,82,11,,,195,8,,,118,5,,,90,2,,,34,1,,,,,,,526,28,526,28,13,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,14,d. Veeartsen,,,,,,,,,,,,,,,,,,,,,,,4,2,,,1,,,,2,,,,,,,,,,,,,,,,,,,,7,2,,,7,2,14,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,15,e. Advocaten en procureurs,,,,,,,,,,,,,,,,2,,,2,8,,,62,66,,,55,25,,,20,5,,,7,1,,,8,1,,,6,,,,,,,,160,108,,,160,108,15,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,16,f. ingenieuws en architecten,,,,,,,,,,,,,,,,4,,,,4,,,12,14,,,20,9,,,3,,,,2,,,,1,,,,1,,,,,,,,39,31,,,39,31,16,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,17,g. Kunstenaars en letterkundigen,,,,,,,,,8,,,21,,,6,79,1,2,5,35,,2,78,108,8,28,109,42,2,19,74,12,3,2,25,13,,3,17,1,1,,15,2,,,,,,,329,321,15,56,344,377,17,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,18,"h. Administrateurs, rentmeesters enz.",,,,,,,,,,,,1,,,,4,,,,7,,,25,32,,1,50,16,,,16,2,,,9,2,,,2,,,,6,1,,,,,,,108,65,,1,108,66,18,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,19,"i. Boekhouders, schrijvers, copiisten.",,,1,,11,,76,,476,,,793,,1,15,2087,2,14,71,535,,5,966,1183,2,13,1280,355,1,4,472,71,,,144,8,,,88,11,,,56,2,,,,,,,3092,5609,5,37,3097,5646,19,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,20,"k. Kunstenmakers, goochelaars, straatmuzikanten, enz.",,,,,1,,1,,2,2,,1,,3,1,7,,9,3,4,1,4,23,18,6,5,56,8,4,1,18,1,2,,7,1,1,,3,,,,2,,,,,,,,113,44,14,24,127,68,20,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,21,m. Andere beroepen tot wetenschap en kunst behoorende.,,,,,,,,,2,,,1,,2,,40,,,5,24,4,2,19,47,2,1,32,11,1,,11,1,,,6,,,,3,1,,1,3,,,,,,,,79,127,7,6,86,133,21,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,22,n. Andere beroepen tot de publieke vermakelijkheden behoorende,,,2,,,,,,10,2,1,22,,11,4,84,4,38,14,30,3,28,136,109,28,94,189,46,24,13,55,6,12,3,25,1,3,,16,1,1,,5,,,,,,,,445,311,75,189,520,500,22,BT ,1889_02_T1,54,55,HET RIJK,29_0396
,,,23,o. Andere beroepen niet onder een der vorige te rangschikken.,,,,,,,,,,,,5,,4,1,20,1,55,7,7,2,44,86,38,18,154,179,13,33,129,133,1,7,33,45,2,4,3,47,2,3,4,32,,3,2,,,,1,530,88,71,429,601,517,23,BT ,1889_02_T1,54,55,HET RIJK,29_0396
