"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nummer der beroepsklasse [NB: Romeinse cijfers],Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"12   1877",,"13   1876",,"14 --- 15  1875   --- 1874",,"16 --- 17  1873   --- 1872",,,,"18 --- 22  1871   --- 1867",,,,"23 --- 24  1866   --- 1865",,,,"25 --- 35  1864   --- 1854",,,,"36 --- 50  1853   --- 1839",,,,"51 --- 60  1838   --- 1829",,,,"61 --- 65  1828   --- 1824",,,,"66 --- 70  1823 --- 1818",,,,"71 en daarboven  1818 en vroeger",,,,"Van onbekenden leeftijd",,,,"TOTAAL DER MANNEN",,"TOTAAL DER VROUWEN",,"TOTAAL DER MANNEN EN VROUWEN",,Regelnummer [NB: Arabische cijfers],Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,,Totaal voor groep XXI,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,16,15,0,1,48,13,0,0,20,2,1,0,11,1,0,0,10,0,0,0,4,1,0,0,0,0,0,0,109,36,1,2,110,38,,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,172,173,HET RIJK,29_0455
XXII,,,Verzekeringswezen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,172,173,HET RIJK,29_0455
,A.,,Levensverzekering.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,31,Agenten,B,,,,,,,,,,,,,,,1,,,1,3,,,10,9,,,13,1,,,6,,,,3,1,,,4,,1,,4,,1,,,,,,41,15,2,,43,15,31,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,32,Directeuren,B,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,32,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,172,173,HET RIJK,29_0455
XXII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,B.,,Zieken- en begrafenisfondsen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,1,Agenten,B,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,1,,,,,,,,4,1,,,4,1,1,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,2,Directeuren,B,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,2,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,C.,,Tegen rampen of ongevallen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,3,Directeuren,B,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,3,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,4,Inspecteurs,C,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,,4,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,D.,,Andere verzekeringen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,5,Agenten,B,,,,,,,,,,,,,,,,,,,,,,8,9,,,18,6,,,13,2,,,5,1,,,5,,,,12,2,,,,,,,61,20,,,61,20,5,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,6,Assuradeurs,A,,,,,,,,,,,,,,,,,,,,,,2,3,,,7,1,,,4,,,,2,,,,1,,,,2,,,,,,,,18,4,,,18,4,6,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,7,id.,B,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,3,,,,1,,,,,,,,,,,,,,,,6,1,,,6,1,7,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,8,Commissionnairs,B,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,3,,8,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,9,Directeuren,B,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,9,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,10,Inspecteuren,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,2,,10,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,11,Makelaars,B,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,,,,2,,,,,,,,,,,,,,,,,,,,5,1,,,5,1,11,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,,Totaal voor XXII,A,,,,,,,,,,,,,,,,,,,,,,2,3,,,7,1,,,4,,,,2,,,,1,,,,2,,,,,,,,18,4,,,18,4,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,,Totaal voor XXII,B,,,,,,,,,,,,,,,1,,,1,3,,,21,22,,,39,8,,,25,2,,,13,2,,,9,,1,,17,2,1,,,,,,125,40,2,,127,40,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,,Totaal voor XXII,C,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,1,,,,,,,,7,,,,7,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,,Totaal voor groep XXII,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,23,25,0,0,52,9,0,0,29,2,0,0,15,2,0,0,10,0,1,0,20,2,1,0,0,0,0,0,150,44,2,,152,44,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
XXIII,,,"Tusschenhandel, (Commissiehandel, kassierderij, makelaardij; enz.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,A.,,Grondstoffen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,12,Agenten,B,,,,,,,,,,,1,,,,,,,1,1,,,4,8,,,5,1,,,11,,,,,,,,,,,,1,,,,,,,,22,11,,,22,11,12,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,13,Commissionnairs,B,,,,,,,,,,,,,,,,,,1,1,,,4,1,,,9,2,,,7,,,,1,,,,2,1,,,1,,,,,,,,25,5,,,25,5,13,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,B.,,Voorwerpen van kleding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,14,Agenten,B,,,,,,,,,,,,,,,4,,,,2,,,9,10,,,7,1,,2,4,1,,1,2,,,,,,,,,,,,,,,,22,18,,3,22,21,14,BT,1889_02_T3,174,175,HET RIJK,29_0456
XXIV,,15,Commissionnairs,B,,,,,,,,,,,1,,,,3,,1,1,,,,1,4,,,1,1,,1,4,,,,2,,,,,,,,,,,,,,,,9,9,,2,9,11,15,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,16,Makelaars,B,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,3,,16,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,C.,,Voorwerpen van voeding en genot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,17,Agenten,B,,,,,,,,,,,2,,,,7,,,,4,,,28,26,,,39,7,,,24,2,,,4,,,,5,,,,4,,,,,,,,104,48,,,104,48,17,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,18,Commissionnairs,B,,,,,,,,,,,1,,,,18,,,,8,,,26,12,,,51,8,1,,37,2,,1,8,,,,15,,,,8,,,,,,,,145,49,1,1,146,50,18,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,19,Makelaars,B,,,,,,,,,,,,,,,,,,,,,,3,2,,,4,,,,,,,,,,,,1,,,,,,,,,,,,8,2,,,8,2,19,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,D. ,,Voorwerpen van woning.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,20,Agenten,B,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,,,,,,,,,,,,1,,,,,1,,,,,,,4,2,,,4,2,20,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,21,Commissionnairs,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,21,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,22,Makelaars,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,22,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,E.,,Boek- en kunstwerken. (incl. Dagbladen).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,23,Agenten,B,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,1,,1,1,2,23,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,24,Commissionnairs,B,,,,,,,,,,,,,,,1,,,,,,,2,1,,,2,,,,1,,,,,1,,,,,,,,,,,,,,,5,3,,,5,3,24,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,F.,,Voorwerpen van luxe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,25,Agenten,B,,,,,,,,,,,,,,,,,,,,,,2,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,2,2,,1,2,3,25,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,G.,,Levend vee en gevogelte.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,26,Agenten,B,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,26,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,27,Commissionnairs,B,,,,,,,,,,,,,,,1,,,,,,,2,3,,,10,,,,5,,,,,,,,1,,,,,,,,,,,,18,4,,,18,4,27,BT,1889_02_T3,174,175,HET RIJK,29_0456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,174,175,HET RIJK,29_0456
XXIII,H.,,Andere waren.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,1,Agenten,B,,,,,,,,,,,,,,,,,,,,,,8,4,,,17,4,,,8,,1,1,3,,,,1,,,1,3,,,,,,,,40,8,1,2,41,10,1,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,2,Commissionnairs in effecten,B,,,,,,,,,,,,,,,2,,,1,,,,11,13,,,43,5,,,17,2,,,5,1,,,3,1,,,4,,,,,,,,84,24,,,84,24,2,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,3,Commissionnairs,B,,,,,,,,,,,,,,1,,,,,,,,9,2,,,12,2,,,3,1,,,2,,,,2,,,,1,,,,,,,,30,5,,,30,5,3,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,4,Debiteurs staatsloterij,A,,,,,,,,,,,,,,,,,,,,,,,1,,,2,1,,,2,1,,,1,,2,,1,,1,,5,,1,1,,,,,11,3,4,1,15,4,4,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,5,Exporthandelaars,A,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,5,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,6,Makelaars,B,,,,,,,,,,,,,,,,,,,1,,,5,6,,,8,,,,5,2,,,1,,1,,4,,,,1,,,,,,,,24,9,1,,25,9,6,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,,Totaal voor XXIII,A,,,,,,,,,,,,,,,,,,,,,,,2,,,3,1,,,2,1,,,1,,2,,1,,1,,5,,1,1,,,,,12,4,4,1,16,5,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,,Totaal voor XXIII,B,,,,,,,,,,,5,,,1,38,,1,4,17,,,115,94,,1,212,32,1,3,130,10,1,3,29,2,1,,35,2,,1,23,1,,,,,,,549,201,3,9,552,210,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,,Totaal voor XXIII,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,,Totaal voor groep XXIII,,,0,0,0,0,0,0,0,0,0,5,0,0,1,38,0,1,4,17,0,0,115,96,0,1,215,33,1,3,132,11,1,3,30,2,3,0,36,2,1,1,28,1,1,1,0,0,0,0,561,205,7,10,568,215,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
XXVI,,,Hulpbedrijven van den handel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,A.,,Grondstoffen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,7,Reizigers,C,,,,,,,,,,,,,,,4,,,,,,,7,6,,,3,1,,,1,,,,,,,,,,,,,,,,,,,,11,11,,,11,11,7,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,B.,,Voorwerpen van kleeding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,8,Reizigers,C,,,,,,,,1,,,4,,,,33,,,,15,,,20,65,,,24,6,,,5,,,,2,1,,,1,,,,1,1,,,,,,,53,126,,,53,126,8,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,C.,,Voorwerpen van voeding en genot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,9,Graanfactoren,A,,,,,,,,,,,,,,,,,,,,,,3,2,,1,2,,,,2,,,,2,,,,1,,,,,,,,,,,,10,2,,1,10,3,9,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,10,Reizigers,C,,,,,,,,2,,,,,,,27,,,,18,,,45,56,,,33,9,,,8,,,,1,1,,,2,,,,1,,,,,,,,90,113,,,90,113,10,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,D.,,Voorwerpen van woning.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,11,Reizigers,C,,,,,,,,,,,,,,,6,,,,,,,,4,,,2,,,,3,,,,,,,,,,,,,,,,,,,,5,10,,,5,10,11,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,E.,,Boek- en kunstwerken ( incl. Dagbladen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,12,Colporteurs,C,,,,,,,,1,,,1,,,,3,,,,3,,,4,2,,,7,4,,,10,1,,,2,,,,,,,,,,,,,,,,23,15,,,23,15,12,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,13,Reizigers,C,,,,,,,,,,,,,,,3,,,,,,,2,7,,,3,,,,1,,,,,,,,,,,,,,,,,,,,6,10,,,6,10,13,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,F.,,Voorwerpen van luxe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,14,Reizigers,C,,,,,,,,,,,2,,,,3,,,,1,,,3,5,,,3,1,,,,,,,,,,,,,,,,,,,,,,,6,12,,,6,12,14,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,H.,,Andere.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,15,Directeuren van verhuurkantoren,B,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2,,1,,1,,,,,,,,,,,,,,,,,,1,1,4,,5,1,15,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,16,Omroepers,D,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,4,,,,2,,,,1,,,,,,,,10,,,,10,,16,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,17,Reizigers,C,,,,,,,,1,,,,,,,8,,,1,4,,,11,20,,,14,2,,,4,,,,3,1,,,,,,,,,,,,,,,33,36,,,33,36,17,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,18,Uitroepers bij verkoopingen,D,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,3,,,,1,,,,2,,,,1,,,,,,,,9,1,,,9,1,18,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,19,Vendumeesters,C,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,1,,,,,,1,,,,2,,,,1,,,,,,,,7,,1,,8,,19,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,20,Vischafslagers,D,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,20,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,,Totaal voor XXIV,A,,,,,,,,,,,,,,,,,,,,,,3,2,,1,2,,,,2,,,,2,,,,1,,,,,,,,,,,,10,2,,1,10,3,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,,Totaal voor XXIV,B,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2,,1,,1,,,,,,,,,,,,,,,,,,1,1,4,,5,1,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,,Totaal voor XXIV,C,,,,,,,,5,,,7,,,,87,,,1,41,,,93,165,,,91,23,1,,32,1,,,9,3,,,5,,,,3,1,,,,,,,234,333,1,,235,333,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,,Totaal voor XXIV,D,,,,,,,,,,,,,,,,,,,,,,2,1,,,2,,,,5,,,,5,,,,4,,,,2,,,,,,,,20,1,,,20,1,,BT,1889_02_T3,176,177,HET RIJK,29_0457
,,,Totaal voor groep XXIV,,,0,0,0,0,0,0,5,0,0,7,0,0,0,87,0,0,1,41,0,0,98,168,1,1,95,24,3,0,40,1,1,0,16,3,0,0,10,0,0,0,5,1,0,0,0,0,0,0,265,337,5,1,270,338,,BT,1889_02_T3,176,177,HET RIJK,29_0457
