"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeente,Nummer der beroepsklasse [NB: Romeinse cijfers],Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"12   1878",,"13   1876",,"14 --- 15  1875   --- 1874",,"16 --- 17  1873   --- 1872",,,,"18 --- 22  1871   --- 1867",,,,"23 --- 24  1866   --- 1865",,,,"25 --- 35  1864   --- 1854",,,,"36 --- 50  1853   --- 1839",,,,"51 --- 60  1838   --- 1829",,,,"61 --- 65  1828   --- 1824",,,,"66 --- 70  1823 --- 1818",,,,"71 en daarboven  1818 en vroeger",,,,"Van onbekenden leeftijd",,,,"TOTAAL DER MANNEN",,"TOTAAL DER VROUWEN",,"TOTAAL DER MANNEN EN VROUWEN",,Regelnummer [NB: Arabische cijfers],Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,,17,Turfdragers,D,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,17,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,G.,,"Logement- en koffehuishouderij, tapperij enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,18,Bierhuishouders,A,,,,,,,,,,,,,,,,1,,,,1,,8,1,1,1,23,1,18,1,7,,5,,4,,4,,7,,1,,5,,2,,,,,,54,2,33,2,87,4,18,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,19,Buffetchefs en -juffrouwen,C,,,,,,,,,,,,,2,,2,,12,,,,9,,1,,5,1,,,2,1,,,1,,,,,,,,,,,,,,,,,2,3,,31,2,34,19,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,20,Commensalenhouders,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,3,,3,,20,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,21,Hotel- en logementhouders,A,,,,,,,,,,,,,,3,3,,,4,1,,,91,10,4,2,232,11,24,2,133,8,29,1,36,1,14,,20,,12,,27,1,16,,,,,,546,35,99,5,645,40,21,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,22,id.,B,,,,,,,,,,,1,,,,,,,,1,,,3,1,,,7,1,1,3,4,1,4,1,3,2,2,,1,,,,,,,,,,,,18,7,7,4,25,11,22,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,23,Koffiehuishouders,A,,,,,,,,,,,,,,2,2,,,6,,1,,102,10,5,2,167,6,20,,92,2,24,2,34,,6,,15,1,2,1,11,,10,1,,,,,429,21,68,6,497,27,23,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,24,id.,B,,,,,,,,,,,,,,,,,,,,,1,3,1,,2,6,1,,,1,,,,,,1,,,,,,,,,,,,,,10,2,1,3,11,5,24,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,25,Kellners en kellnerinnen,D,,,,1,,4,,13,1,,17,,10,2,63,,17,3,18,,10,15,54,1,24,11,13,4,13,3,,1,,2,,,,1,,,,,1,,,,,,,37,184,6,75,43,259,25,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,26,Restaurateurs,A,,,,,,,,,,,,,,,,,,,,,,1,2,,,2,,1,,4,,1,,4,,,,2,,,,,,,,,,,,13,2,2,,15,2,26,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,27,id.,B,,,,,,,,,,,,,,,,,,,1,,,1,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,3,1,1,,4,1,27,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,28,Tappers (incl. herbergiers),A,,,,,,,,,1,,,,,7,6,2,7,15,7,3,7,628,52,45,19,1156,40,210,28,621,26,195,25,242,12,128,7,176,10,105,8,184,8,122,7,,,,,3029,161,810,109,3839,270,28,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,29,id.,B,,,,,,,,,,,,,,,,,,,1,,,1,3,,,,,2,2,2,,,3,,1,,,,,,,,,,,,,,,3,5,2,5,5,10,29,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,H.,,Andere bedrijven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,30,Boden (geen beambten in openbare dienst),D,,,,1,,2,,4,,,2,,,1,7,,,2,3,,,28,11,,,38,9,3,1,29,2,1,,15,,,,12,1,1,,4,2,,,,,,,129,44,5,1,134,45,30,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,31,Couriers en gidsen,D,,,,,,,,,,,,,,,1,,,,,,,,2,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,4,1,,2,4,31,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,32,Hofmeesters en schepen,C,,,,,,,,3,,,5,,,1,8,,,1,8,,,16,13,,,18,3,1,,6,,,,1,,1,,1,,,,,,,,,,,,44,40,2,,46,40,32,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,33,Porters,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,1,,,,,,,,4,,,,4,,33,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,34,id.,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,2,,34,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,35,Wakers voor schepen en booten,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,3,,,,3,,35,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,,Totaal voor XX,A,,,,,,,,7,1,1,23,,,38,157,3,7,116,123,6,7,2391,459,62,24,4370,323,315,31,2368,109,299,29,829,40,168,10,577,25,137,9,422,21,168,8,,,,,11112,1287,1158,126,12270,1413,,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,,Totaal voor XX,B,,,,,,,,1,,,5,,,1,32,,,5,22,,1,100,72,,5,221,37,3,5,73,10,5,4,17,4,3,,14,,,1,4,,,,,,,,435,183,11,16,446,199,,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,,Totaal voor XX,C,,,,,,1,,9,,,30,,2,2,155,,16,21,79,,13,398,177,7,17,463,40,20,8,178,14,2,4,50,4,1,1,25,,,,11,1,,,,,,,1148,510,30,61,1178,571,,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,,Totaal voor XX,D,,13,,60,12,151,3,591,11,2,965,,15,102,3077,7,24,187,1011,14,13,2905,2219,152,32,3067,561,220,21,1118,135,64,2,336,34,16,2,196,13,8,2,104,9,1,,,1,,,8017,8840,482,137,8499,8977,,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,,Totaal voor groep XX,,,13,0,60,12,152,3,608,12,3,1023,0,17,143,3421,10,47,329,1235,20,34,5794,2927,221,78,8121,961,558,65,3737,268,370,39,1232,82,188,13,812,38,145,12,541,31,169,8,0,1,0,0,20712,10820,1681,340,22393,11160,,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,230,231,HET RIJK,29_0484
,XXI,,,Credit- en bankwezen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,36,Bankiers,A,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,2,,,2,2,36,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,37,id.,B,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,3,3,,,3,3,37,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,38,Releenkankhouders en personeel aan banken van leening (ook gemeentelijke),B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,38,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,39,id.,C,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,39,BT,1889_02_T4,230,231,HET RIJK,29_0484
,XXI,,1,Directeuren van bank- en credietvereenigingen,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,1,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,2,Kassiers,B,,,,,,,,,,,,,,,,,,,,,,3,5,,,3,1,,,,,,,,,,,3,,,,,1,,,,,,,9,7,,,9,7,2,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,3,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,2,,3,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,,Totaal voor XXI,A,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,2,,,2,2,,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,,Totaal voor XXI,B,,,,,,,,,,,,,,,,,,,,,,3,8,,,4,1,,,2,,,,1,,,,3,,,,1,1,,,,,,,14,10,,,14,10,,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,,Totaal voor XXI,C,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,,,,3,,,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,,Totaal voor groep XXI,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,5,2,0,0,2,0,0,0,1,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,19,12,,,19,12,,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,232,233,HET RIJK,29_0485
,XXII,,,Verzekingswezen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,A.,,Levensverzekering.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,4,Agenten,B,,,,,,,,,,,,,,,3,,,,4,,,8,5,,,11,7,1,,5,1,,,2,1,,,1,,,,2,,,,,,,,29,21,1,,30,21,4,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,5,Directeuren,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,2,,,,2,,5,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,6,Inspecteurs,C,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,6,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,B.,,Zieken- en begrafenisfondsen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,7,Agenten,B,,,,,,,,,,,,,,,,,,,,,,2,,,,1,1,,,,,,,2,,,,1,,,,1,,,,,,,,7,1,,,7,1,7,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,8,Directeuren,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,8,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,D.,,Tegen rampen of ongevallen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,9,Directeuren,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,9,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,,Andere verzekeringen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,10,Agenten,B,,,,,,,,,,,,,,,3,,,,,,,1,4,,,19,,,,9,1,,,4,1,,,3,2,,,6,2,,,,,,,42,13,,,42,13,10,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,11,Assuradeurs,A,,,,,,,,,,,,,,,,,,,,,,2,3,,,2,,,,2,,,,,,,,1,,,,,,,,,,,,7,3,,,7,3,11,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,12,id.,B,,,,,,,,,,,,,,,,,,,,,,,2,,,1,1,1,,,,,,,,,,1,,,,,,,,,,,,2,3,1,,3,3,12,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,13,Commissionnairs,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,13,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,14,Directeuren,B,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,2,,,,1,,,,,,,,,,,,,,,,4,1,,,4,1,14,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,15,Makelaars,B,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,3,,15,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,,Totaal voor XXII,A,,,,,,,,,,,,,,,,,,,,,,2,3,,,2,,,,2,,,,,,,,1,,,,,,,,,,,,7,3,,,7,3,,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,,Totaal voor XXII,B,,,,,,,,,,,,,,,6,,,,5,,,12,11,,,35,9,2,,19,2,,,10,2,,,8,2,,,10,2,,,,,,,94,39,2,,96,39,,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,,Totaal voor XXII,C,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,,Totaal voor groep XXII,,,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,15,15,0,0,37,9,2,0,21,2,0,0,10,2,0,0,9,2,0,0,10,2,0,0,0,0,0,0,102,43,2,,104,43,,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,,"Tusschenhandel, (commissiehandel, kassierderij, makelaardij, enz.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,A.,,Grondstoffen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,16,Agenten,B,,,,,,,,,,,,,,,1,,,,,,,5,,,,5,,,,2,,,,1,,,,,,,,,,,,,,,,13,1,,,13,1,16,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,17,Commissionnairs,B,,,,,,,,,,,,,,,,,,,,,,2,1,,,6,4,,,8,,,,,1,,,2,,,,,,,,,,,,18,6,,,18,6,17,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,B.,,Voorwerpen van kleeding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,18,Agenten,B,,,,,,,,,,,1,,,,3,,,,5,,,2,7,,,15,1,,,3,,,1,,,,,1,,,,1,,,,,,,,22,17,,1,22,18,18,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,19,Commissionnairs,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,C.,,Voorwerpen van voeding en genot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,20,Agenten,B,,,,,,,,,,,,,,1,6,,1,1,5,,,13,13,,,27,8,1,,13,1,,,4,1,,,6,1,,,1,,,,,,,,66,35,1,1,67,36,20,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,21,Commissionnairs,B,,,,,,,,,,,,,,,14,,,1,7,,,38,20,,,94,8,,,39,4,,,14,1,,,11,,,,10,,,,,,,,207,54,,,207,54,21,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,22,Makelaars,B,,,,,,,,,,,,,,,1,,,1,,,,1,2,,,6,,,,3,,,,2,,,,,,,,1,,,,,,,,14,3,,,14,3,22,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,D.,,Voorwepen van woning.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,23,Agenten,B,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2,,,1,,,,,,,,,,,,,,,,,,,,2,3,,,2,3,23,BT,1889_02_T4,232,233,HET RIJK,29_0485
,,,24,Commissionnairs,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,2,,24,BT,1889_02_T4,232,233,HET RIJK,29_0485
,XXIII,E.,,Boek- en kunstwerken. (incl. dagbladen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,,1,Agenten,B,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,,2,Commissionnairs,B,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,2,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,F.,,Voorwerpen van luxe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,,3,Agenten,B,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,3,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,,4,Commissionnairs,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,2,,,,2,,4,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,G.,,Levende vee en gevogelte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,,5,Commissionnairs,B,,,,,,,,,,,,,,,2,,,,2,,,3,4,,,17,2,,,9,1,,,8,,,,3,,,,1,,,,,,,,41,11,,,41,11,5,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,,6,Makelaars,B,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,2,6,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,H.,,Andere waren.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,,7,Agenten,B,,,,,,,,,,,,,,,1,,,,2,,,7,4,,,13,,,,4,1,,,1,,,,1,,,,2,,,,,,,,28,8,,,28,8,7,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,,8,Commissionnairs in effecten,B,,,,,,,,,,,,,,,2,,,,1,,,9,6,,,20,7,,,13,1,,,2,,,,6,,,,,3,,,,,,,50,20,,,50,20,8,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,,9,Commissionnairs,B,,,,,,,,,,,,,,,,,,,,,,7,4,,,8,2,,,3,1,,,1,,,,1,,,,1,,,,,,,,21,7,,,21,7,9,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,,10,Debiteurs Staatsloterij,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,4,,,,4,,10,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,,11,Makelaars,B,,,,,,,,,,,,,,,,,,,,,,1,,,,7,,,,4,,,,2,,,,,,,,,,,,,,,,14,,,,14,,11,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,,,Totaal voor XXIII,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,4,,,,4,,,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,,,Totaal voor XXIII,B,,,,,,,,,,,3,,,1,30,,1,3,22,,,89,67,,,226,35,1,,104,9,,1,38,4,,,32,1,,,18,3,,,,,,,511,174,1,2,512,176,,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,,,Totaal voor XXIII,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,,,Totaal voor groep XXIII,,,0,0,0,0,0,0,0,0,0,3,0,0,1,30,0,1,3,22,0,0,89,67,0,0,226,35,1,0,104,9,0,1,38,4,0,0,36,1,0,0,18,3,0,0,0,0,0,0,515,174,1,2,516,176,,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,234,235,HET RIJK,29_0486
,XXIV,,,Hulpbedrijven van den handel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,A.,,Grondstoffen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,,12,Reizigers,C,,,,,,,,,,,,,,,2,,,,1,,,,,,,2,1,,,1,1,,,,,,,,,,,,,,,,,,,3,5,,,3,5,12,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,B,,Voorwerpen van kleeding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,,13,Reizigers,C,,,,,,,,,,,2,,,,20,,,,8,,,8,27,,,11,8,,,2,3,,,,1,,,1,1,,,,,,,,,,,22,70,,,22,70,13,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,C.,,Voorwerpen van voeding en genot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,,14,Graanfactoren,A,,,,,,,,,,,,,,,,,,,1,,,2,1,,,7,1,,,4,1,,,,,,,,,,,2,,,,,,,,15,4,,,15,4,14,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,,15,Reizigers,C,,,,,,,,,,,1,,,,27,,,1,10,,,12,25,,,26,6,,,4,,,,2,,,,,,,,,,,,,,,,45,69,,,45,69,15,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,D.,,Voorwerpen van woning.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,,16,Reizigers,C,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,3,,,2,3,16,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,E.,,Boek- en kunstwerken (incl dagbladen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,,17,Colporteurs,C,,,,,,,,,,,,,,,3,,,,1,,,3,1,,,2,2,,,1,,,,,,,,,,,,,,,,,,,,6,7,,,6,7,17,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,,18,Reizigers,C,,,,,,,,,,,,,,,,,,,,,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,3,1,,,3,1,18,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,F.,,Voorwerpen van luxe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,,19,Reizigers,C,,,,,,,,,,,,,,,2,,,,1,,,3,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,5,6,19,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,H.,,Andere.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,234,235,HET RIJK,29_0486
,,,20,Directeuren van verhuurkantoren,B,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,2,,,,1,,,,2,,,,3,,,,,,,,12,,,,12,,20,BT,1889_02_T4,234,235,HET RIJK,29_0486
